median_tpm_Liver	median_tpm_Other	LO	gene
34.4	18.48	1.86147186147186	MGLL
9.039	3.604	2.50804661487236	RAB43
1.3785	0.8649	1.59382587582379	EFCAB12
80.075	24.79	3.23013311819282	ACAD11
1606	1.308	1227.82874617737	TF
33.425	26.87	1.24395236323037	SRPRB
21.045	10.16	2.07135826771654	PCCB
1.6035	0.8499	1.88669255206495	IL20RB
14.235	5.688	2.50263713080169	RBP1
4.4075	1.556	2.83258354755784	PLS1
17.655	11.4	1.54868421052632	PLOD2
27.975	5.478	5.10679079956188	AGTR1
1.168	0.881	1.32576617480136	CPB1
310.75	3.784	82.1220930232558	CP
34.81	15.3	2.27516339869281	SIAH2
14.565	4.881	2.9840196681008	ARHGEF26
5.813	1.473	3.94636795655126	MME
21.165	1.294	16.3562596599691	BCHE
1.7145	0.9775	1.7539641943734	ACTRT3
4.0075	3.293	1.21697540236866	PLD1
32.3	20.71	1.55963302752294	TNFSF10
29.42	23.3	1.26266094420601	ALG3
2.633	1.854	1.42017259978425	ECE2
19.425	1.05	18.5	THPO
130.75	13.73	9.52294246176256	CHRD
91.62	2.883	31.7793964620187	EHHADH
11.575	9.139	1.26654995076048	TMEM41A
179.5	12.6	14.2460317460317	ST6GAL1
35.075	1.502	23.3521970705726	MASP1
2.8985	1.966	1.47431332655137	RTP4
1.6415	0.4698	3.49404001702852	TPRG1
90.515	2.463	36.7498984977669	CLDN1
13.57	1.153	11.7692974848222	IL1RAP
20.46	15.69	1.30401529636711	ATP13A3
6.441	4.625	1.39264864864865	MUC20
1.747	0.252	6.93253968253968	ZDHHC19
18.865	1.39	13.5719424460432	SLC51A
71.38	6.477	11.0205341979311	BDH1
8.9275	1.816	4.91602422907489	SLC26A1
29.495	20.82	1.41666666666667	FGFRL1
25.435	10.54	2.41318785578748	SPON2
25.5	4.315	5.90961761297798	FGFR3
11.79	9.679	1.21810104349623	SH3BP2
8.742	7.273	1.20197992575278	RGS12
204.65	0.367	557.629427792916	HGFAC
1.7365	1.061	1.63666352497644	S100P
27.53	20.22	1.36152324431256	GRPEL1
1.897	1.209	1.56906534325889	SORCS2
7.3055	5.608	1.30269258202568	SH3TC1
3.532	1.008	3.50396825396825	SLC2A9
80.05	19.97	4.00851276915373	QDPR
27	8.723	3.09526539034736	ADGRA3
9.2165	7.13	1.29263674614306	PPARGC1A
12.65	5.213	2.42662574333397	SEPSECS
16.95	6.969	2.4321997417133	PI4K2B
10.825	0.787	13.7547649301144	C4orf19
19.83	14.22	1.39451476793249	FAM114A1
8.8665	5.878	1.50842123171147	KLHL5
46.65	13.28	3.51280120481928	UGDH
42.345	15.54	2.72490347490348	SMIM14
2.5725	2.126	1.21001881467545	N4BP2
16.255	8.692	1.87011044638748	RBM47
12.2	7.638	1.59727677402461	TMEM33
2.338	0.367	6.37057220708447	NIPAL1
4.9765	0.5848	8.50974692202462	CNGA1
1.012	0.5617	1.80167349118747	TXK
1.939	1.353	1.43311160384331	TEC
38.76	14.72	2.63315217391304	OCIAD2
18.185	11.09	1.63976555455365	PAICS
6.3175	0.2461	25.6704591629419	SULT1B1
7.9675	2.353	3.38610284742881	JCHAIN
5.229	3.229	1.61938680706101	SLC4A4
25200	1.919	13131.8394997394	ALB
2.6785	1.721	1.55636257989541	CXCL8
1.062	0.3384	3.13829787234043	PPBP
256.15	15.13	16.9299405155321	CXCL2
4.5245	2.526	1.79117181314331	MTHFD2L
9.828	6.696	1.46774193548387	NAAA
1.355	1.071	1.26517273576097	CXCL10
48.955	14.52	3.3715564738292	STBD1
3.999	3.294	1.21402550091075	SHROOM3
5.726	0.3738	15.3183520599251	SOWAHB
6.466	1.543	4.19053791315619	RASGEF1B
1.431	0.5222	2.74032937571812	PLAC8
79.19	0.4362	181.545162769372	HSD17B13
61.58	23.88	2.5787269681742	HSD17B11
7.235	5.717	1.26552387615882	SPP1
4.043	0.9361	4.31898301463519	ABCG2
11.855	2.544	4.65998427672956	TIGD2
306.1	0.2415	1267.49482401656	ADH1A
810.55	53.06	15.2761025254429	ADH1B
273.7	4.263	64.2036124794745	ADH1C
2.7045	2.251	1.2014660151044	TRMT10A
19.545	9.521	2.05283058502258	CISD2
12.945	3.483	3.71662360034453	SLC9B2
42.845	24.22	1.76899256812552	HADH
69.025	51.08	1.35131166797181	OSTC
31.615	0.6392	49.4602628285357	ETNPPL
11.735	8.049	1.45794508634613	CASP6
256.4	17.72	14.4695259593679	CFI
12.43	1.637	7.59315821624924	ELOVL6
7.6465	3.062	2.4972240365774	ENPEP
3.154	2.327	1.35539321014181	NUDT6
2.1965	1.346	1.63187221396731	HSPA4L
10.014	5.981	1.67430195619462	LARP1B
4.1345	2.409	1.71627231216272	NOCT
8.6965	4.114	2.11387943607195	RAB33B
39.265	20.5	1.91536585365854	MGST2
1.0805	0.4814	2.24449522226838	CLGN
5.195	2.148	2.41852886405959	MMAA
7352	0.2428	30280.0658978583	FGB
5497.5	0.2437	22558.4735330324	FGA
5968.5	0.3301	18080.8845804302	FGG
23.1	16.65	1.38738738738739	CTSO
43.305	19.95	2.17067669172932	ETFDH
6.019	4.258	1.4135744480977	TMEM192
12.13	9.092	1.33413990321161	KLHL2
126	13.14	9.58904109589041	MSMO1
14.245	8.196	1.7380429477794	CBR4
7.646	0.9987	7.65595273856013	MFAP3L
13.38	3.045	4.39408866995074	AADAT
5.307	1.98	2.68030303030303	HAND2
33.565	1.002	33.498003992016	HPGD
7.77	6.397	1.21463185868376	WWC2
384.15	69.08	5.56094383323683	ACSL1
8.3365	3.433	2.42834255752986	FAM149A
40.95	11.61	3.52713178294574	CYP4V2
76.485	1.939	39.4455905105725	KLKB1
47.1	38.94	1.2095531587057	SLC12A7
68.06	51.46	1.32258064516129	CLPTM1L
13.735	1.737	7.90731145653425	SRD5A1
67.805	17.88	3.792225950783	CMBL
7.384	5.465	1.35114364135407	OTULIN
71.43	48.32	1.47826986754967	GOLPH3
19.125	4.776	4.00439698492462	AMACR
7.6015	6.323	1.20219832358058	RAI14
6.6125	3.492	1.89361397479954	SKP2
74.635	12.63	5.90934283452098	NADK2
1.721	0.7521	2.28825953995479	RANBP3L
23.35	18.6	1.25537634408602	PRKAA1
136.15	2.155	63.1786542923434	C6
29.15	5.289	5.51143883531859	GHR
8.1755	2.051	3.98610433934666	CCDC152
210.5	49.26	4.27324401136825	SELENOP
51.995	16.47	3.15695203400121	HMGCS1
16.07	10.07	1.59582919563059	ITGA1
25.17	4.43	5.68171557562077	FST
1.1	0.5656	1.94483734087695	GZMK
2.909	1.497	1.94321977287909	GZMA
17.975	14.14	1.27121640735502	SMIM15
4.8705	2.725	1.78733944954128	NLN
9.318	4.109	2.26770503772207	CCDC125
6.6535	2.979	2.23346760657939	MARVELD2
2.744	0.8863	3.09601714994923	OCLN
35.715	19.09	1.87087480356207	MCCC2
1.2315	0.3955	3.11378002528445	TMEM171
7.266	6.026	1.20577497510787	ENC1
13.32	9.793	1.36015521290718	HMGCR
25.67	5.956	4.3099395567495	IQGAP2
13.1	0.5423	24.1563710123548	CRHBP
41.185	0.7624	54.0201993704092	DMGDH
207.35	6.884	30.1205694363742	BHMT2
19.475	5.914	3.29303347987826	SERINC5
4.3865	3.311	1.32482633645424	DHFR
7.298	5.68	1.28485915492958	ZCCHC9
1.8925	1.518	1.24670619235837	MBLAC2
26.81	19.54	1.37205731832139	GLRX
35.3	28.6	1.23426573426573	ELL2
7.9	6.483	1.21857164892797	NUDT12
2.024	0.6056	3.34214002642008	TSLP
8.9935	7.006	1.28368541250357	STARD4
6.436	4.75	1.35494736842105	MCC
3.2965	0.9806	3.36171731592902	KCNN2
41.9	30.91	1.35554836622452	TMED7
140.65	8.365	16.8141063956964	CDO1
119.85	64.25	1.86536964980545	HSD17B4
14.34	6.442	2.22601676497982	ALDH7A1
2.514	2.044	1.22994129158513	LMNB1
42.785	16.8	2.54672619047619	ISOC1
1.0335	0.8545	1.20947922761849	CHSY3
68.38	6.913	9.89150875162737	SHROOM1
286.8	185.7	1.54442649434572	UQCRQ
93.865	2.459	38.1720211468077	LEAP2
27.955	15.69	1.7817080943276	SAR1B
12.645	9.795	1.29096477794793	SEC24A
21.655	17.97	1.20506399554814	SIL1
14.945	0.4899	30.5062257603593	SLC23A1
2.0895	0.5256	3.97545662100457	MZB1
39.995	23.51	1.70119098256061	CXXC5
195.8	23.4	8.36752136752137	CD14
15.03	8.773	1.71321098825943	TMCO6
8.678	0.4083	21.2539799167279	SPINK1
52.825	18.62	2.83700322234157	ABLIM3
25.375	17.55	1.44586894586895	NDST1
12.63	8.329	1.51638852203146	ATOX1
29.975	14.18	2.1138928067701	FAXDC2
8.0255	1.269	6.32427107959023	ADRA1B
6.8145	4.076	1.67185966633955	WWC1
13.24	9.982	1.32638749749549	PANK3
422.05	344.3	1.22582050537322	DUSP1
45.16	33.42	1.35128665469779	ERGIC1
22.89	7.175	3.19024390243902	SFXN1
4.765	2.861	1.66550157287662	HK3
48.89	3.073	15.9095346566873	FGFR4
120.75	90.19	1.33884022618916	LMAN2
33.335	8.99	3.70800889877642	RGS14
376.05	0.5322	706.595264937993	F12
27.205	18.79	1.44784459819053	PHYKPL
92.53	40.31	2.29546018357728	MGAT4B
14.6	10.77	1.35561745589601	RNF130
10.075	7.857	1.28229604174621	NQO2
19.965	4.477	4.45945945945946	BPHL
15	8.163	1.83755972069092	TUBB2A
133.85	36.61	3.65610488937449	PXDC1
98.095	62.48	1.57002240717029	ECI2
1.2325	0.5571	2.21234966792317	PPP1R3G
21.345	16.67	1.28044391121776	DSP
2.9875	2.066	1.44603097773475	GCNT2
6.9545	0.8175	8.50703363914373	ELOVL2
23.065	17.92	1.287109375	FAM8A1
2.476	1.281	1.93286494925839	NHLRC1
27.23	10.95	2.48675799086758	TPMT
1.465	0.6732	2.17617349970291	PRL
10.29	0.6436	15.9881914232443	GPLD1
32.875	8.554	3.84323123684826	ALDH5A1
12.785	8.315	1.53758268190018	ACOT13
1.081	0.7845	1.37794773741236	SCGN
3.2445	2.535	1.27988165680473	HFE
1.436	0.2141	6.70714619336758	UBD
2.122	1.12	1.89464285714286	POU5F1
2.57	1.185	2.16877637130802	LTB
3.5585	2.482	1.43372280419017	LST1
127.1	2.652	47.9260935143288	APOM
119.1	51.66	2.3054587688734	HSPA1A
77.28	39.6	1.95151515151515	HSPA1B
184.9	2.966	62.3398516520566	C2
1115	15.13	73.694646397885	CFB
34.39	25.69	1.33865317244064	DXO
43.405	3.859	11.2477325732055	C4A
51.2	3.406	15.0322959483265	C4B
17.465	0.5718	30.5438964672963	CYP21A2
66.74	44.43	1.50213819491335	PSMB8
32.805	19.81	1.65598182735992	HSD17B8
2.1685	1.507	1.43895155938952	ARMC12
3.684	1.611	2.28677839851024	CLPS
29.135	16.2	1.79845679012346	CCDC167
